id,prediction
0,2.3368886
1,2.9744697
2,3.319629
3,46.727646
4,367.59192
5,930.1224
6,1428.8169
7,3022.2886
8,3078.2485
9,2040.472
10,2842.9155
11,2658.6616
12,2300.8066
13,1704.0099
14,2346.917
15,1490.1985
16,1279.8102
17,575.71594
18,244.39323
19,23.6954
20,7.9535637
21,3.319629
22,2.9744697
23,2.9744697
24,2.2754471
25,2.9744697
26,8.332812
27,114.41356
28,484.79547
29,1348.2072
30,1678.2169
31,1786.6665
32,3341.12
33,4091.865
34,4355.3413
35,3568.5295
36,3341.12
37,3032.104
38,2837.8135
39,2224.6064
40,1701.1653
41,912.1696
42,419.99722
43,96.20143
44,3.646866
45,2.1529279
46,3.319629
47,2.3368886
48,6.0550528
49,3.4143302
50,25.69976
51,165.26062
52,566.6056
53,1496.1835
54,2597.731
55,3785.9656
56,4576.316
57,4688.8965
58,4595.504
59,4688.8965
60,3970.1985
61,3785.9656
62,2883.7969
63,2289.878
64,1156.8511
65,554.1915
66,436.72192
67,130.30336
68,3.2813995
69,2.8905108
70,3.319629
71,2.9744697
72,3.319629
73,2.3368886
74,13.326447
75,116.889175
76,278.00568
77,1001.46826
78,2349.8086
79,3257.212
80,3950.8982
81,3568.8394
82,3578.6235
83,3785.9656
84,3213.4692
85,3046.8223
86,2890.0933
87,2667.2554
88,1720.3523
89,982.56836
90,367.59192
91,108.03626
92,5.9984713
93,3.2624743
94,3.68945
95,3.68945
96,2.3368886
97,2.6979153
98,48.49488
99,268.53152
100,626.1617
101,1198.9174
102,2346.917
103,3330.8481
104,4166.346
105,4595.504
106,4595.504
107,4595.504
108,4359.1064
109,4192.723
110,3578.6235
111,2890.0933
112,2130.5735
113,986.74963
114,487.3153
115,222.93338
116,15.724548
117,2.3368886
118,2.3368886
119,3.319629
120,3.68945
121,2.6979153
122,60.55607
123,268.53152
124,695.80237
125,1629.2922
126,2614.534
127,3578.6235
128,4275.709
129,4760.9844
130,3936.5999
131,3729.331
132,2842.391
133,2847.4978
134,3249.0015
135,2584.6626
136,2014.9951
137,1008.4774
138,459.08145
139,210.66736
140,17.281199
141,2.9848568
142,2.8905108
143,3.319629
144,2.708852
145,3.646866
146,71.85042
147,268.53152
148,721.4116
149,1629.2922
150,2605.457
151,3794.3975
152,4652.572
153,4595.504
154,4142.5464
155,3794.3975
156,3718.4192
157,2883.7969
158,2584.6626
159,2667.2554
160,2023.922
161,956.4472
162,497.45654
163,209.18758
164,11.918854
165,2.5677915
166,2.708852
167,2.8905108
168,2.0805712
169,3.646866
170,20.45643
171,86.91037
172,166.4801
173,268.53152
174,359.47485
